"country_name","year","real_interest_rate","gdp_change","inflation_change","number_of_cases"
Argentina,2018,4.56,0.62,19.27,0
Argentina,2019,12.10,-7.90,-11.53,0
Australia,2010,6.04,0.18,0.38,3
Australia,2011,1.45,1.56,-1.54,3
Australia,2012,5.09,-1.30,0.69,3
Australia,2013,6.32,-0.05,0.04,3
Australia,2014,4.47,-0.44,-0.98,3
Australia,2015,6.24,0.60,-0.23,3
Australia,2016,6.14,-0.47,0.67,3
Australia,2017,1.54,0.58,-0.04,3
Australia,2018,3.35,-0.68,-0.30,3
Australia,2019,1.57,-2.32,-0.76,3
Brazil,2010,29.12,-3.56,1.60,4
Brazil,2011,32.83,-2.05,-1.24,4
Brazil,2012,26.58,1.08,0.80,4
Brazil,2013,18.50,-2.50,0.13,4
Brazil,2014,22.40,-4.05,2.70,4
Brazil,2015,33.83,0.27,-0.29,4
Brazil,2016,40.70,4.60,-5.29,4
Brazil,2017,41.71,0.46,0.21,4
Brazil,2018,33.10,-0.56,0.07,4
Brazil,2019,31.90,-4.50,-0.52,4
Brazil,2020,21.20,8.04,5.09,4
Brazil,2021,15.01,-1.74,0.98,4
Brazil,2022,28.40,0.22,-4.69,4
Brazil,2023,36.55,0.18,-0.22,4
Canada,2012,1.76,0.57,-0.58,1
Canada,2013,1.24,0.54,0.97,1
Canada,2014,1.04,-2.22,-0.78,1
Canada,2015,3.67,0.39,0.30,1
Canada,2016,1.97,1.99,0.17,1
Canada,2017,0.13,-0.29,0.67,1
China,2012,3.51,-0.08,0.00,3
China,2013,3.62,-0.32,-0.70,3
China,2014,4.46,-0.48,-0.48,3
China,2015,4.21,-0.20,0.56,3
China,2016,2.83,0.11,-0.41,3
China,2017,0.20,-0.13,0.48,3
China,2018,0.85,-0.69,0.83,3
China,2019,3.00,-3.73,-0.48,3
China,2020,3.80,6.23,-1.44,3
China,2022,2.37,2.28,-1.74,3
China,2023,4.88,-0.43,-0.01,3
Greece,2013,1.01,3.06,-0.39,1
Greece,2014,1.41,-1.02,-0.43,1
Greece,2015,1.63,0.20,0.91,1
Greece,2016,0.51,1.50,1.95,1
Greece,2020,0.70,17.85,2.47,1
India,2011,1.32,0.22,0.57,4
India,2012,2.47,0.93,0.54,4
India,2013,3.87,1.02,-3.35,4
India,2014,6.70,0.59,-1.76,4
India,2015,7.56,0.26,0.04,4
India,2016,6.23,-1.46,-1.62,4
India,2017,5.33,-0.35,0.61,4
India,2018,5.36,-2.58,-0.21,4
India,2019,6.89,-9.65,2.89,4
India,2020,4.14,15.47,-1.49,4
India,2021,0.32,-2.08,1.57,4
India,2022,2.52,1.58,-1.05,4
Indonesia,2011,4.59,-0.14,-1.08,3
Indonesia,2012,7.75,-0.47,2.13,3
Indonesia,2013,6.37,-0.55,-0.02,3
Indonesia,2014,6.79,-0.13,-0.03,3
Indonesia,2015,8.35,0.15,-2.83,3
Indonesia,2016,9.22,0.04,0.28,3
Indonesia,2017,6.50,0.10,-0.61,3
Indonesia,2018,6.47,-0.15,-0.17,3
Indonesia,2019,8.63,-7.09,-1.11,3
Indonesia,2020,9.99,5.77,-0.36,3
Indonesia,2021,2.75,1.61,2.65,3
Indonesia,2023,7.29,-0.02,-1.49,3
Italy,2010,3.41,-0.83,1.25,4
Italy,2011,2.82,-3.83,0.26,4
Italy,2012,3.46,1.31,-1.82,4
Italy,2013,3.97,1.82,-0.98,4
Italy,2014,3.93,0.89,-0.20,4
Italy,2015,3.32,0.35,-0.13,4
Italy,2016,2.22,0.36,1.32,4
Italy,2017,2.27,-0.77,-0.09,4
Italy,2018,1.59,-0.40,-0.53,4
Italy,2019,1.54,-9.30,-0.75,4
Italy,2020,0.74,17.80,2.01,4
Italy,2021,0.73,-4.11,6.33,4
Japan,2010,3.55,-4.08,0.46,0
Japan,2011,3.17,1.35,0.23,0
Japan,2012,2.18,0.64,0.38,0
Japan,2013,1.66,-1.71,2.42,0
Japan,2016,0.62,0.93,0.61,0
Japan,2017,1.07,-1.04,0.51,0
"Korea, Rep.",2010,2.72,-3.29,1.09,2
"Korea, Rep.",2011,4.43,-1.14,-1.84,2
"Korea, Rep.",2012,4.05,0.74,-0.89,2
"Korea, Rep.",2013,3.53,-0.08,-0.03,2
"Korea, Rep.",2014,3.18,-0.29,-0.56,2
"Korea, Rep.",2015,0.30,0.25,0.26,2
"Korea, Rep.",2016,1.28,0.26,0.97,2
"Korea, Rep.",2017,1.43,-0.25,-0.46,2
"Korea, Rep.",2018,3.08,-0.87,-1.10,2
"Korea, Rep.",2019,4.10,-3.01,0.16,2
"Korea, Rep.",2020,1.20,5.31,1.96,2
"Korea, Rep.",2022,2.44,-1.15,-1.49,2
"Korea, Rep.",2023,3.09,0.42,-1.28,2
Mexico,2010,0.87,-1.53,-0.75,1
Mexico,2012,0.13,-2.70,-0.30,1
Mexico,2013,2.52,1.65,0.21,1
Mexico,2015,0.21,-0.93,0.10,1
Mexico,2017,0.72,0.10,-1.14,1
Mexico,2018,2.70,-2.36,-1.26,1
Mexico,2019,3.94,-7.96,-0.24,1
Mexico,2020,1.65,14.40,2.29,1
Mexico,2021,0.39,-2.34,2.21,1
Mexico,2022,1.42,-0.36,-2.37,1
Mexico,2023,6.63,-1.92,-0.81,1
Russian Federation,2012,0.18,-2.26,1.68,3
Russian Federation,2013,3.94,-1.02,1.07,3
Russian Federation,2014,3.40,-2.71,7.71,3
Russian Federation,2015,7.89,2.16,-8.49,3
Russian Federation,2016,9.48,1.64,-3.36,3
Russian Federation,2017,4.95,0.98,-0.80,3
Russian Federation,2019,5.32,-4.85,-1.09,3
Russian Federation,2020,5.83,8.52,3.31,3
Russian Federation,2023,3.36,0.26,2.56,3
South Africa,2010,3.49,0.13,0.93,2
South Africa,2011,3.28,-0.77,0.74,2
South Africa,2012,3.88,0.09,0.04,2
South Africa,2013,2.51,-1.08,0.35,2
South Africa,2014,3.57,-0.09,-1.61,2
South Africa,2015,3.67,-0.66,2.08,2
South Africa,2016,3.28,0.50,-1.41,2
South Africa,2017,4.65,0.40,-0.68,2
South Africa,2018,5.86,-1.30,-0.41,2
South Africa,2019,5.27,-6.43,-0.87,2
South Africa,2020,2.20,11.03,1.39,2
South Africa,2021,0.60,-2.80,2.42,2
South Africa,2022,3.37,-1.25,-0.96,2
South Africa,2023,6.47,-0.28,-1.72,2
Spain,2014,0.25,2.54,-0.35,1
Spain,2015,0.39,-1.14,0.30,1
Switzerland,2010,2.41,-1.43,-0.46,1
Switzerland,2011,2.74,-0.63,-0.92,1
Switzerland,2012,2.62,0.61,0.47,1
Switzerland,2013,2.78,0.56,0.21,1
Switzerland,2014,3.37,-0.71,-1.13,1
Switzerland,2015,4.00,0.43,0.71,1
Switzerland,2016,3.25,-0.71,0.96,1
Switzerland,2017,3.01,1.50,0.41,1
Switzerland,2018,1.85,-1.72,-0.58,1
Switzerland,2019,2.74,-3.28,-1.09,1
Switzerland,2020,3.36,7.70,1.31,1
Switzerland,2021,1.30,-2.52,2.26,1
Switzerland,2023,1.95,0.62,-1.08,1
Turkiye,2014,0.28,1.21,-1.18,2
Turkiye,2016,0.22,4.51,3.36,2
Turkiye,2018,3.09,-2.17,-1.15,2
Turkiye,2019,0.38,0.50,-2.90,2
United States,2010,2.01,-1.14,1.52,2
United States,2011,1.16,0.73,-1.09,2
United States,2012,1.36,-0.17,-0.61,2
United States,2013,1.75,0.40,0.16,2
United States,2014,1.59,0.43,-1.50,2
United States,2015,2.48,-1.13,1.14,2
United States,2016,2.64,0.64,0.87,2
United States,2017,2.37,0.51,0.31,2
United States,2018,2.46,-0.39,-0.63,2
United States,2019,3.72,-4.74,-0.58,2
United States,2020,2.85,8.22,3.47,2
United States,2023,4.11,-0.10,-1.17,2
